"name_short","month","height","205  Tl "
"AP","August","85",0.30385779861023
"AP","August","50",0.248064855894132
"AP","August","15",0.242332251810992
"SP","August","85",0.216032869917962
"SP","August","50",0.184640071512113
"SP","August","15",0.246889706543819
"KP","August","85",0.090240264411587
"KP","August","50",0.160559682274378
"KP","August","15",0.158231696578248
"LP","August","85",0.0284396165344645
"LP","August","50",0.212845383975134
"LP","August","15",0.164193921502854
"FP","August","85",0.0695249181903368
"FP","August","50",0.163693474778756
"FP","August","15",0.141272157223574
"AP","September","85",0.409485263027077
"AP","September","50",0.576782408492455
"AP","September","15",0.555240473211702
"SP","September","15",0.217833417306206
"KP","September","85",0.160326263676831
"KP","September","50",0.258059688806316
"KP","September","15",0.175070052286925
"LP","September","50",0.156079164010592
"LP","September","15",0.195571330166093
"FP","September","85",0.153910864179408
"FP","September","50",0.16937239463427
"FP","September","15",0.159268189047186
"AP","October","85",0.624299676795646
"AP","October","50",0.530641481282811
"AP","October","15",0.582141135168751
"SP","October","85",0.286355392848595
"SP","October","50",0.267680605110973
"SP","October","15",0.258644172639102
