"name_short","month","height","mean","sd2","205  Tl ","Tl_inv","combined_names"
"AP","August","15",-2.63507666052711,0.73295256215468,0.242332251810992,4.12656587196637,"AP"
"AP","August","50",-3.30637225178935,0.841231094996853,0.248064855894132,4.03120384141305,"AP"
"AP","August","85",-2.53522775853046,0.850839034877754,0.30385779861023,3.29101311394261,"AP"
"FP","August","15",-1.90752945958087,1.2202065410304,0.141272157223574,7.07853564108477,"LP, KP, and FP"
"FP","August","50",-2.46299184068405,0.472014743564523,0.163693474778756,6.10897900085251,"LP, KP, and FP"
"FP","August","85",-1.96994285880956,1.64283101226626,0.0695249181903368,14.3833322789726,"LP, KP, and FP"
"KP","August","15",-3.28823693134546,0.406131904448728,0.158231696578248,6.31984628633167,"LP, KP, and FP"
"KP","August","50",-2.72726554546678,0.548760870648575,0.160559682274378,6.22821362022326,"LP, KP, and FP"
"KP","August","85",-2.33070672946441,0.386157280392693,0.090240264411587,11.0815278137815,"LP, KP, and FP"
"LP","August","15",-2.27906168646741,0.392924234614758,0.164193921502854,6.09035944112351,"LP, KP, and FP"
"LP","August","50",-3.39695551064122,0.576964681357284,0.212845383975134,4.69824612271989,"LP, KP, and FP"
"LP","August","85",-1.48805975360414,0.776455010534785,0.0284396165344645,35.162218125837,"LP, KP, and FP"
"SP","August","15",-2.39580295574383,0.675646268799351,0.246889706543819,4.05039162628077,"SP"
"SP","August","50",-1.67439523774537,0.488665584018897,0.184640071512113,5.41594244310286,"SP"
"SP","August","85",-1.39850000641971,0.341337311452201,0.216032869917962,4.62892522040626,"SP"
"AP","September","15",-2.66326588834631,0.255575216703584,0.555240473211702,1.80102144610543,"AP"
"AP","September","50",-4.09735122808545,0.480245213622757,0.576782408492455,1.73375606689135,"AP"
"AP","September","85",-3.51702097387145,0.294069078432945,0.409485263027077,2.4420903272748,"AP"
"FP","September","15",-2.99528175493946,0.49534966161098,0.159268189047186,6.27871771495896,"LP, KP, and FP"
"FP","September","50",-2.63569287913342,0.330611760539907,0.16937239463427,5.90414985959976,"LP, KP, and FP"
"FP","September","85",-2.60750882252451,0.773034902039376,0.153910864179408,6.49726713790872,"LP, KP, and FP"
"KP","September","15",-3.03743821405855,0.667602284963437,0.175070052286925,5.71199920795754,"LP, KP, and FP"
"KP","September","50",-3.67841810036333,0.399020801643136,0.258059688806316,3.87507248662359,"LP, KP, and FP"
"KP","September","85",-2.17088322940512,1.28918772306289,0.160326263676831,6.23728126051572,"LP, KP, and FP"
"LP","September","15",-3.36149221734276,0.723480980058037,0.195571330166093,5.11322390224952,"LP, KP, and FP"
"LP","September","50",-3.08633225651334,1.14376732556289,0.156079164010592,6.40700510115583,"LP, KP, and FP"
"SP","September","15",-2.10142738164554,0.661276490292386,0.217833417306206,4.59066387685738,"SP"
"AP","October","15",-3.21151057561993,0.184396720142338,0.582141135168751,1.71779649227179,"AP"
"AP","October","50",-3.68530255856156,0.815006023033193,0.530641481282811,1.88451154927151,"AP"
"AP","October","85",-3.89088757995074,0.554223471834883,0.624299676795646,1.60179483855048,"AP"
"SP","October","15",-2.17501094559452,0.992467793107891,0.258644172639102,3.86631560184171,"SP"
"SP","October","50",-2.52520559570738,0.40108236438866,0.267680605110973,3.73579549995947,"SP"
"SP","October","85",-2.48887448850488,1.05135212374477,0.286355392848595,3.49216402056284,"SP"
